Topic_ID,Book_Number,Book_Title,Module_ID,Module_Title,Topic_Number,Chapter_Title_HR,Target_Grades,Cycle_Context,Learning_Outcome_Draft,Offline_Activity,Observable_Success_Check,Supervision_Tier,Safety_Boundary,Expert_Review_Required,Theme_Tags,Curriculum_Status,Curriculum_Map_IDs,Core_Pages,Lesson_Minutes_Planning_Assumption,Lower_Readiness_Adaptation,Higher_Readiness_Extension,Companion_Asset_IDs,Digital_Optional,Evidence_And_Update_Notes,Source_IDs,Source_URLs,Authoring_Status
B3-011,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",11,Od ideje do male poslovne probe,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Test a problem, estimate costs and design an ethical pilot",Build a fictional one-page service proposal and break-even worksheet,"Identifies customer evidence, costs, permissions and a stop rule",L - low-risk paper/ordinary activity,"No trading, employment, food sales or consumer commitments without legal review",Entrepreneurship educator,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-008,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-011-W01;B3-011-C01;B3-011-TG;B3-011-PG;B3-M02-MISSION,B3-011-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-012,3,Spremni za samostalan život,B3-M02,"Učenje, posao i zarada",12,"Studij, struka ili druga ruta?",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Compare post-school options and total costs without prestige ranking,Use fictional profiles to compare two pathways and a fallback,"Records official entry requirements, support needs and unanswered questions",L - low-risk paper/ordinary activity,Annual admissions and funding check; include three-year vocational progression,Career counsellor,OSR;UKU;POD,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-019;CM-023;CM-026,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-012-W01;B3-012-C01;B3-012-TG;B3-012-PG;B3-M02-MISSION,B3-012-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03;S01,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,PLANNED - not drafted or professionally validated
B3-013,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,13,Jelovnik i kupnja za nekoliko dana,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Plan affordable balanced meals and use overlapping ingredients,Build a three-day fictional menu with dated teaching prices,Produces a feasible shopping list and explains leftovers/allergens,L - low-risk paper/ordinary activity,"No restrictive diets, mandatory household budgets or unsupported nutrition claims",Dietitian and chef,POD;ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-013-W01;B3-013-C01;B3-013-TG;B3-013-PG;B3-M03-MISSION,B3-013-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S07;S05;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-014,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,14,"Sigurno s nožem, pločom i pećnicom",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Demonstrate a safe setup and know when to stop,Use a controlled supervised kitchen station or photo-sequence alternative,"Reviewer checks stability, heat protection and safe shutdown",A - responsible adult actively supervises practical activity,"Competence and access assessed; no deep frying, pressure cooking or speed tasks",Chef and safety reviewer,ZDR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-014-W01;B3-014-C01;B3-014-TG;B3-014-PG;B3-M03-MISSION,B3-014-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S03;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-015,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,15,"Jedan lonac, dobar obrok",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Cook one validated affordable one-pot meal,Follow a tested recipe in an approved kitchen with supervision,"Checks recipe stages, allergens, hygiene and cleanup",A - responsible adult actively supervises practical activity,Adult/trainer supervision according to competence; exact safe recipe verified,Chef and food-safety reviewer,ZDR;POD;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-015-W01;B3-015-C01;B3-015-TG;B3-015-PG;B3-M03-MISSION,B3-015-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S01;S05;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-016,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,16,Proteini za različite navike i potrebe,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Prepare a simple protein meal with suitable alternatives,"Compare and prepare a tested egg, legume or other approved option",Explains allergen substitutions and recipe safety checkpoints,A - responsible adult actively supervises practical activity,No raw tasting or unsupported substitution of cooking times; dietitian review,Chef and dietitian,ZDR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-016-W01;B3-016-C01;B3-016-TG;B3-016-PG;B3-M03-MISSION,B3-016-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S03;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-017,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,17,"Ostaci hrane: spremi, označi, provjeri",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Apply reviewed cooling, storage, labelling and reheating guidance",Label mock containers and arrange a safe timeline from a tested recipe,Rejects uncertain storage and identifies when to discard rather than taste,A - responsible adult actively supervises practical activity,Exact times/temperatures must be current and expert approved; no unsafe-food experiments,Food-safety professional,ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-039,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-017-W01;B3-017-C01;B3-017-TG;B3-017-PG;B3-M03-MISSION,B3-017-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S05;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-018,3,Spremni za samostalan život,B3-M03,Kuham za sebe i druge,18,Večera za četvero uz zadani budžet,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,"Coordinate menu, cost, timing and cleanup",Prepare an approved meal or run a full paper service simulation,Meets fictional budget and safety requirements with an inclusive menu,A - responsible adult actively supervises practical activity,No obligation to buy food; allergy and kitchen approvals required for live activity,Chef and educator,POD;ZDR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-018-W01;B3-018-C01;B3-018-TG;B3-018-PG;B3-M03-MISSION,B3-018-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S07;S02;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B3-019,3,Spremni za samostalan život,B3-M04,Moj prvi dom,19,Tražim stan: pitanja prije potpisa,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Inspect a rental offer and identify contract/condition questions,"Review a fictional listing, viewing checklist and sample contract","Flags deposit, inventory, bills, defects and unclear clauses",L - low-risk paper/ordinary activity,No real rental commitments; housing lawyer verifies current Croatian context,Housing-law reviewer,POD;GOO;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-019-W01;B3-019-C01;B3-019-TG;B3-019-PG;B3-M04-MISSION,B3-019-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S06;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B3-020,3,Spremni za samostalan život,B3-M04,Moj prvi dom,20,"Odjeća: pranje, sušenje i glačanje",SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Follow labels and select safe maintenance methods,Plan a mixed laundry load and supervised ironing demonstration,Matches labels and identifies burn/electrical stop conditions,A - responsible adult actively supervises practical activity,Adult/trainer controls hot iron and chemicals; accessible no-iron alternative,Practical-skills educator,ODR;ZDR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-039,2,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-020-W01;B3-020-C01;B3-020-TG;B3-020-PG;B3-M04-MISSION,B3-020-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S05;S07,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,PLANNED - not drafted or professionally validated
B3-021,3,Spremni za samostalan život,B3-M04,Moj prvi dom,21,Čist dom bez opasnih kombinacija,SŠ 1-4; also three-year pathways,Cycle 4: years 1-2 of four-year / year 1 of three-year; Cycle 5: years 3-4 of four-year / years 2-3 of three-year,Read product labels and plan safe cleaning/ventilation,Build a picture-based cleaning plan for a fictional room,Rejects incompatible/unknown chemicals and unsafe access,A - responsible adult actively supervises practical activity,"No chemical mixing, unlabelled containers or high-level work",Chemical-safety reviewer,ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B3-021-W01;B3-021-C01;B3-021-TG;B3-021-PG;B3-M04-MISSION,B3-021-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
