Mission_ID,Book_Number,Module_Title,Mission_Title_HR,Prerequisite_Topic_IDs,Task,Materials,Observable_Success,Pages_Allocated,Suggested_Duration,Safety_and_Permission,Inclusion,Status
B2-M05-MISSION,2,Zdravlje i odrastanje,Moja kutija pouzdanih odluka,B2-025;B2-026;B2-027;B2-028;B2-029;B2-030,Build a source-and-help map for fictional health and peer-pressure situations,Reviewed health references; fictional scenarios,Rejects unsafe claims and chooses appropriate support,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M06-MISSION,2,Odnosi i komunikacija,Tim koji zna razgovarati,B2-031;B2-032;B2-033;B2-034;B2-035;B2-036,Run a short paper project with a difficult fictional message,Role cards; paper; feedback sheet,"Makes a clear request, shares roles and resolves a safe disagreement",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M07-MISSION,2,Sigurnost u stvarnom svijetu,Sigurnosna ruta bez stvarne opasnosti,B2-037;B2-038;B2-039;B2-040;B2-041;B2-042,Navigate paper emergency and travel scenarios with an approved instructor,Scenario cards; inert first-aid props only,Prioritises help and recognises limits; no peer manoeuvres,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M08-MISSION,2,Digitalne odluke,Provjeri prije klika i dijeljenja,B2-043;B2-044;B2-045;B2-046;B2-047;B2-048,"Audit fictional messages, images and AI answers",Printed source excerpts and fabricated examples,Finds unsupported claims and protects data,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M09-MISSION,2,Kretanje i održivost,Put do cilja uz manji trošak,B2-049;B2-050;B2-051;B2-052;B2-053;B2-054,Compare fictional transport routes and resource use,Timetables; map; teaching prices,Feasible accessible route and justified trade-off,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B2-M10-MISSION,2,Moj sljedeći korak,Dan s tri promjene plana,B2-055;B2-056;B2-057;B2-058;B2-059;B2-060,"Use the chapter-60 method with new travel, meal and budget surprises",Planner; map; budget and event cards,Revises a feasible plan while respecting adult permissions,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M01-MISSION,3,Novac za stvarni život,Prvi mjesec s vlastitim budžetom,B3-001;B3-002;B3-003;B3-004;B3-005;B3-006,"Simulate income, deductions, essentials and a financial shock",Dated fictional payslip; budget sheet,Reconciles net income and expenses; no actual transactions,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M02-MISSION,3,"Učenje, posao i zarada",Od oglasa do pitanja prije potpisa,B3-007;B3-008;B3-009;B3-010;B3-011;B3-012,Evaluate a job offer and prepare an honest application,"Fictional ad, CV and contract",Evidence-based CV and correct questions for legal advice,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M03-MISSION,3,Kuham za sebe i druge,Tri dana obroka za stvarni raspored,B3-013;B3-014;B3-015;B3-016;B3-017;B3-018,"Plan food, cost, prep time, storage and a shared meal",Tested recipes; illustrative prices,Safe feasible menu; practical cooking remains separately supervised,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M04-MISSION,3,Moj prvi dom,Useljenje bez skupih pretpostavki,B3-019;B3-020;B3-021;B3-022;B3-023;B3-024,"Review a fictional rental, inventory and household cost agreement",Listing; mock lease; bill cards,Finds unclear terms and plans professional advice,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M05-MISSION,3,Na cesti i uz automobil,"Automobil: provjeri, stani ili zovi",B3-025;B3-026;B3-027;B3-028;B3-029;B3-030,Make safe ownership and breakdown decisions in a controlled paper/workshop setting,Exact training-vehicle manual; inert components,Chooses correct help and rejects unsafe jump-start/lifting conditions,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M06-MISSION,3,Zdravlje i sigurnost,Moja mreža zdravstvene podrške,B3-031;B3-032;B3-033;B3-034;B3-035;B3-036,"Navigate routine, urgent and emergency fictional needs",Clinician-reviewed scenarios; inert training props,Uses appropriate qualified routes without self-diagnosis,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M07-MISSION,3,"Odnosi, granice i dogovori",Dogovori koji čuvaju odnose,B3-037;B3-038;B3-039;B3-040;B3-041;B3-042,Negotiate shared costs and boundaries using fictional cases,Message cards; agreement template,"Clear factual request, respected boundary and safe exit option",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M08-MISSION,3,Digitalna samostalnost,Digitalni plan za loš dan,B3-043;B3-044;B3-045;B3-046;B3-047;B3-048,"Respond to a fictional stolen phone, scam and unreliable AI output",Printed mock account map and recovery cards,Protects safety/data and verifies through trusted channels,4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M09-MISSION,3,"Prava, obveze i zajednica",Administrativni zadatak od početka do kraja,B3-049;B3-050;B3-051;B3-052;B3-053;B3-054,Solve a fictional consumer/public-service enquiry using official references,Dated source excerpts; mock forms,"Correct institution, essential questions and protected identifiers",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
B3-M10-MISSION,3,Spremni za samostalan život,Trideset dana: nova runda samostalnosti,B3-055;B3-056;B3-057;B3-058;B3-059;B3-060,"Apply the chapter-60 method to a new fictional month with housing, health and income events",Full paper simulation kit,"Documented feasible plan, sources, contingency and appropriate help-seeking",4,45-60 minutes or two short sessions; professional practice separately scheduled,Paper simulation is default. All practical extensions inherit the highest supervision tier of their component topics. School activity requires the applicable legal/permission route.,No-cost paper/oral alternative; fictional finances and households; supported participation counts,PLANNED - activity and rubric require educator review
