Source_ID,Authority,Title,URL,Publication_Date,Status_As_Of_2026_09_22,Supports,Limitations,Next_Review,Verified_As_Of
S22,Ministry of Finance,Consumer financial-literacy frameworks and action plans,https://mfin.gov.hr/istaknute-teme/financijska-trzista-i-financijska-pismenost/financijska-pismenost-potrosaca/3293,,2021-2026 framework; successor monitoring,Youth financial literacy; personal finance; debt; savings; consumer protection,Successor after 2026 not verified; no new compulsory finance subject inferred,Monthly through 2027,2026-09-22
S23,MZOM,Special-curriculum implementation guidance,https://mzom.gov.hr/print.aspx?id=7324&url=print,2025-11-05,Guidance published November 2025,Differentiation; assistive technology; special life-skills and daily-living curricula,Special programmes are not interchangeable with mainstream expectations; specialist adaptation needed,Before publication and every 6 months,2026-09-22
S24,NSK,Croatian ISBN office,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/,,Publisher service,Natural-person and legal-person publisher registration; ISBN allocation,"ISBN eligibility does not establish tax, retail-business or AZOO eligibility",Before choosing imprint and each new format,2026-09-22
S25,NSK,CIP programme,https://nsk.hr/nakladnici/cip/,,Publisher service,Request after final correction; current printed catalogue-number wording; format exclusions,"CIP is not a quality approval; didactic kits, worksheets and online resources may be excluded",At prepress for every eligible edition,2026-09-22
S26,NSK,Legal deposit,https://nsk.hr/nakladnici/obvezni-primjerak/,,Statutory deposit guidance,Ordinary privately funded books: four to NSK; publicly funded books: nine; county copy; 30-day period,Confirm digital and multi-format requirements and funding classification before print,Before every print/format release,2026-09-22
S27,AZOP,Data protection in educational institutions,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/,,Official regulator guidance,Lawful basis; transparency; child privacy; consent is not a universal solution,Pilot and digital-service processing need case-specific legal assessment,Before pilots and any account-based feature,2026-09-22
S28,Croatian Red Cross,First-aid programmes and doctrine,https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551,,Primary institutional reference,Qualified first-aid review and hands-on training route,Book is not certification and cannot replace training; no partnership agreed,At every safety-content revision,2026-09-22
S29,HAPIH / food safety centre,Five keys to safer food,https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,,Primary food-safety reference,Hygiene; separation; cooking; storage; safe ingredients,"Foundational reference only; specific recipes, allergens and temperatures need current expert validation",At recipe testing and before printing,2026-09-22
S30,Ford,Vehicle-specific jump-start owner-manual example,https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983,,Manufacturer safety reference,Vehicle-specific warnings and designated connection points; manual must take precedence,Example is not universal or Croatian fleet guidance; no copied diagrams; use exact local training vehicle manual,Before automotive lesson or diagram revision,2026-09-22
S31,HNB,When and how to teach children about money,https://www.hnb.hr/-/kada-i-kako-s-djecom-uciti-o-financijama-petra-sparica,2025-10-17,Primary educational reference,Age-progressive money education; needs and wants; budgeting,Not proof of demand; no HNB endorsement or agreed collaboration,Before publication and every 6 months,2026-09-22
S32,Ministry of Culture and Media,2027 literary-creation support call,https://min-kulture.gov.hr/vijesti-8/objavljujemo-javni-poziv-za-dodjelu-potpora-za-poticanje-knjizevnoga-stvaralastva-u-2027-godini/30237,2026-06-16,Closed on 14 September 2026,Example future-call watch; Croatian citizenship condition; literary remit,Closed at research date; citizenship and nonfiction fit must be checked; no assumed eligibility,Watch future calls; do not budget award,2026-09-22
S33,Civil Protection Directorate,112 education for children,https://civilna-zastita.gov.hr/kontakti/podrucni-ured-civilne-zastite-split/edukacija-djece-povodom-dana-europskog-broja-112/9113,,Official educational example,Age-appropriate emergency education and role-play,Never place a real practice emergency call; local plans and specialist review required,At safety review,2026-09-22
S34,ASOO,Other educational materials: vocational-subject approval procedure,https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/,,Published agency procedure,ASOO decides vocational-subject materials in secondary vocational schools; published checklist includes three copies and language-compliance declaration,"Do not transfer AZOO deadlines/checklist automatically; confirm current scope, address, fees, electronic formats and timing in writing",Before vocational variant commissioning and submission,2026-09-22
