Risk_ID,Risk,Severity,Stop_or_Review_Trigger,Prevention_and_Response,Required_Evidence,Owner_Role,Gate,Status,Source_IDs,Source_URLs
R-011,Curriculum code mismatch across cycles,HIGH,Cycle-2 content marketed for all upper-primary grades,"Use exact grade/cycle, distinguish combined codes, record partial coverage and teacher validation",Row-level curriculum matrix and sign-off,Curriculum lead,Before teacher edition,OPEN - controls planned,S01;S02;S03;S04;S05;S06;S07,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html
R-012,Policy forecast presented as enacted change,HIGH,"Unconfirmed rollout, funding or finance-strategy successor stated as fact",Use dated status labels and source register; recheck before proposals; remove unsupported promises,Policy tracker reviewed at each commercial gate,Policy lead,Quarterly and before proposals,OPEN - controls planned,S10;S11;S21;S22,https://gov.hr/?id=2591 | https://mzom.gov.hr/cjelodnevna-skola-7470/7470 | https://narodne-novine.nn.hr/eli/sluzbeni/2026/81/969 | https://mfin.gov.hr/istaknute-teme/financijska-trzista-i-financijska-pismenost/financijska-pismenost-potrosaca/3293
R-013,"Stale legal, money, travel or digital guidance",HIGH,"Changed rates, laws, contacts or platform behaviour",Keep volatile data in dated adult notes; review before print and quarterly online; permanent errata route,"Recheck log, version history and corrected dependent assets",Managing editor,Before every reprint and quarterly web review,OPEN - controls planned,,
R-014,Design readable for one age but not another,MEDIUM,B1 too dense or B3 feels childish,"Test three distinct ages with shared grid; vary density and illustration maturity, not identity",Reader observations and actual-size proofs,Art director,Prototype and prepress,OPEN - controls planned,,
R-015,Inaccessible activities or family-income stigma,HIGH,"Success requires equipment, money, reading speed or household disclosure",Give no-cost paper/oral/adapted paths; fictional budgets; include varied homes and abilities,Accessibility audit and support-needing reader feedback,Accessibility lead,Before pilot and publication,OPEN - controls planned,S23,https://mzom.gov.hr/print.aspx?id=7324&url=print
R-016,Copyright or contract rights missing,HIGH,"No rights for illustration, font, photo, narration or reused form","Maintain licence/assignment ledger; verify territories, media, edits and source files; independent originality review",Signed contracts and asset provenance,Rights manager,Before any public sample or release,OPEN - controls planned,,
R-017,AI-generated technical errors or invented sources,HIGH,"Unverified diagrams, procedures, laws or references",Human author/editor accountability; verify every source; specialist checks safety images; log AI assistance,Claim ledger and reviewer sign-off,Managing editor,Before content acceptance,OPEN - controls planned,,
R-018,Excess print stock and weak cash recovery,HIGH,Large print run justified only by low unit cost,"Get 300/500/1000-copy quotes as scenarios; consider short run/POD feasibility; include freight, returns, deposit and damaged stock",Landed-cost model and approved capped exposure,Commercial lead,Before print order,OPEN - controls planned,,
R-019,Distribution discount erases margin,HIGH,"Retail price ignores trade discount, returns, VAT or fulfilment",Model each channel separately; use net receipts and variable costs; reprice or reject uneconomic route,Channel contribution and break-even model using quotes,Commercial lead,Before signing distribution contracts,OPEN - controls planned,,
R-020,Companion scope delays first book,MEDIUM,"App, video or boxed deck consumes core-book budget","Launch book plus essential printable support; gate physical cards, audio, video and app on demand",Stage budget and explicit deferred backlog,Series producer,Monthly scope review,OPEN - controls planned,,
R-021,QR dependency or link rot,MEDIUM,Required activity relies on third-party link/login,Publisher-controlled stable redirects; printed short code; downloadable archive and print alternative,"Link checks, restore test and offline lesson test",Web lead,Before print and monthly link check,OPEN - controls planned,,
R-022,Privacy breach or inappropriate analytics,HIGH,"Child data, behavioural ads or unnecessary identity collection",No child accounts/ads by default; least data; processor contracts; retention and security review,"Privacy inventory, consent/lawful-basis review and incident plan",Privacy lead,Before web or pilot launch,OPEN - controls planned,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
R-023,Premature claims of learning impact,HIGH,Small pilot advertised as proven effectiveness,Report sample and limitations; test comprehension/usability first; separate self-report from observed performance,Pilot methods/results and claims audit,Research lead,Before marketing results,OPEN - controls planned,,
R-024,Biased civic or political content,HIGH,"Tasks score beliefs, endorse a party or profile family views",Use neutral fictional cases and official procedure sources; assess evidence and respectful reasoning only,Independent civic-content review,Civic editor,Before any civic lesson release,OPEN - controls planned,S06,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html
R-025,Grant effort displaces product progress,MEDIUM,Closed or ineligible call treated as funding plan,Budget zero grants; check eligibility first and cap application effort; reject poor-fit calls,Eligibility note and documented application go/no-go,Funding lead,Before spending on applications,OPEN - controls planned,S32,https://min-kulture.gov.hr/vijesti-8/objavljujemo-javni-poziv-za-dodjelu-potpora-za-poticanje-knjizevnoga-stvaralastva-u-2027-godini/30237
R-026,Wrong competent agency for a vocational variant,HIGH,Book 3 vocational-subject materials treated as automatically within AZOO route,Obtain written AZOO/ASOO classification; separate variants and checklists where necessary; do not transfer annual deadlines,Written scope/jurisdiction confirmation and applicable dossier,Vocational curriculum lead,Before vocational commissioning or filing,OPEN - controls planned,S16;S34,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/
