Design_ID,Area,Rule,Specification,Acceptance_Test,Applies_To,Status
DS-015,Safety,The safe stopping point is part of competence,Prominent Zastani box before any unsafe ambiguity; professional assistance is a successful outcome,"No challenge rewards crossing an age, legal or competence boundary",All three books and companions,PROPOSED - validate through print and reader tests
DS-016,Illustration,One visual world that matures,"Consistent line weight, shapes and perspective; B1 expressive/simple; B2 less cartoonish; B3 clean editorial realism",Books remain related without high-school readers feeling patronised,All three books and companions,PROPOSED - validate through print and reader tests
DS-017,Representation,Ordinary diverse lives,"Different abilities, family arrangements, budgets, rural/urban settings and cultural backgrounds; gender-neutral distribution of skills","No gendered assignment of cooking, tools, care or money",All three books and companions,PROPOSED - validate through print and reader tests
DS-018,Technical diagrams,Accuracy before visual flourish,Safety-critical illustrations require specialist annotated sign-off; exact props/vehicle model shown where relevant,"No mirrored tool actions, incorrect polarity, invented PPE or AI-generated unverified mechanism",All three books and companions,PROPOSED - validate through print and reader tests
DS-019,Money examples,"Fictional, dated and transparent","Euro examples; teaching prices labelled illustrative; no real bank branding, salary promise or income comparison",All examples reconcile and carry a date/version when regulations affect them,All three books and companions,PROPOSED - validate through print and reader tests
DS-020,Photography,Illustration by default; controlled photography where useful,No identifiable children by default; professional adults demonstrate risky skills; written rights releases,Asset ledger links every image to rights and review,All three books and companions,PROPOSED - validate through print and reader tests
DS-021,Worksheets,Low-ink and reusable,A4; black/white friendly; sufficient handwriting space; optional separate notebook so trade book remains reusable,Photocopy test and no-print oral alternative for each task,All three books and companions,PROPOSED - validate through print and reader tests
DS-022,Cards,"Same icon, chapter ID and scenario","Proposed A6 cards; prompt front, safe response/support on reverse; 72-card deck; minimum 11 pt target",Shuffle test; no answer leak through thin stock; age/tier visible on both sides,All three books and companions,PROPOSED - validate through print and reader tests
DS-023,Assessment,Private progress rather than ranking,Not yet / With support / Independently where safe / I know when to ask; no public leaderboard,Support counts as progress; no diagnosis or qualification labels,All three books and companions,PROPOSED - validate through print and reader tests
DS-024,Digital extras,Use a stable content code as well as QR,Publisher-owned short path and plain chapter ID; no mandatory sign-in; printable companion fallback,QR scan from print proof; short code resolves; link survives content revision,All three books and companions,PROPOSED - validate through print and reader tests
DS-025,Accessibility,Multiple ways to participate,"Plain Croatian, explained vocabulary, alt text, captions, transcripts, keyboard access, patterns plus colour, enlarged sample",Special educator and users review; fix access blockers before launch,All three books and companions,PROPOSED - validate through print and reader tests
DS-026,Curriculum signalling,Adult-facing metadata stays unobtrusive,Codes and legal notes in teacher guide/index; child pages keep skills primary; use mapped-to wording only after review,"No Ministry, AZOO, CARNET or HCK logo/endorsement claim without written permission",All three books and companions,PROPOSED - validate through print and reader tests
DS-027,Version control,One source of truth per topic,Permanent Bn-### IDs; edition/date in imprint; source/reviewer/change records; asset variants point to core version,Changing a safety fact flags every dependent asset for re-review,All three books and companions,PROPOSED - validate through print and reader tests
DS-028,Prepress,Prove before committing stock,"Printer-agreed colour profile, bleed, PDF specification and cover stock; contract proof; binding stress/use test","Signed physical proof and no clipped icons, tiny labels or false QR paths",All three books and companions,PROPOSED - validate through print and reader tests
DS-029,Set packaging,Postpone slipcase engineering,Choose shared cover finish now; size slipcase only after all production spine measurements,No unsold boxes sized to hypothetical book thickness,All three books and companions,PROPOSED - validate through print and reader tests
DS-030,Editorial voice,Child agency with realistic limits,"Use direct Croatian, short verbs and examples; never shame poverty, disability, anxiety or asking for support",Sensitivity review across all topic introductions and missions,All three books and companions,PROPOSED - validate through print and reader tests
