Task_ID,Phase,Workstream,Applies_To,Task,Step_By_Step,Owner_Role,Depends_On,Planned_Start,Planned_End,Planning_Week_Start,Planning_Week_End,Effort_Hours_Estimate,Priority,Deliverable,Acceptance_Criteria,Gate,Status,Source_IDs,Source_URLs
LEG-02,02 Governance,Legal / tax,Series,"Choose the publisher, contracting party and sales setup","1) Compare feasible structures with accountant/counsel; 2) identify who owns IP and invoices; 3) define tax, consumer, payment and refund duties",Series producer and accountant,LEG-01,2026-10-12,2026-10-23,3,4,6-10,P0,Setup decision and implementation checklist,No payments collected until the chosen sales route is compliant,G1 Sales eligibility,NOT STARTED - proposed plan,S24,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/
LEG-03,02 Governance,Rights,Series,Prepare creator contracts and rights schedule,"1) Specify print, digital, audio, cards, translations and territory; 2) include revisions/source files and attribution; 3) archive licences and contractor assignments",Rights manager,LEG-01,2026-10-12,2026-10-23,3,4,6-10,P1,Reusable contract and rights register,Every public asset has documented rights; no font redistribution,,NOT STARTED - proposed plan,,
LEG-04,02 Governance,School compliance,Series,Clear lawful school contacts and pilot arrangements,1) Review gift/donation/conflict rules; 2) distinguish evaluation from formal adoption; 3) approve paid-consultancy and sample channels; 4) log written school permissions,Publisher counsel,LEG-01,2026-10-12,2026-10-30,3,5,6-10,P0,School-contact and evaluation protocol,"No gifts for adoption, informal classroom distribution or hidden incentives",G2 School access,NOT STARTED - proposed plan,S15;S16,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html
LEG-05,02 Governance,School compliance,Series,Request written AZOO classification guidance,"1) Describe cross-curricular books, multi-grade guide, cards and digital extras; 2) ask about applicant status and standalone materials; 3) confirm fees, deadline, current forms and submission channel; 4) coordinate with ASOO if any vocational-subject scope is proposed",Curriculum lead and counsel,LEG-01,2026-10-12,2026-10-30,3,5,4-8,P0,Written enquiry and response log,"Unanswered questions remain blockers, not assumed approvals",,NOT STARTED - proposed plan,S17;S18;S19;S20;S34,https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/ | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/
LEG-08,02 Governance,Brand,Series,"Check title, imprint and domain availability",1) Search relevant brand/publication records; 2) check domain options and potential confusion; 3) obtain counsel advice on protectable marks and ownership,Rights manager,LEG-01,2026-10-12,2026-10-30,3,5,4-8,P1,Brand-clearance note and owned domain if approved,No assumption that the descriptive series title is exclusively protectable,,NOT STARTED - proposed plan,,
CUR-02,03 Curriculum,Mapping,Series,Confirm cycles and book/grade boundaries,"1) Map grades 1-2, 3-5 and 6-8; 2) distinguish three- and four-year high-school routes; 3) identify combined code formats",Curriculum lead,CUR-01,2026-10-12,2026-10-23,3,4,5-8,P0,Grade/cycle map,Book boundaries are not mistaken for official cycle boundaries,,NOT STARTED - proposed plan,S01;S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html
CUR-04,03 Curriculum,Policy fit,B1,Map experimental practical-skills opportunities precisely,1) Inspect exact Praktične vještine grade outcomes; 2) select safe B1 making/maintenance tasks; 3) record experimental-only scope and classroom resources,Primary curriculum specialist,CUR-01,2026-10-12,2026-10-30,3,5,6-10,P1,Practical-skills mapping appendix,No claim of universal subject rollout; no grade-3 code applied across all grades,,NOT STARTED - proposed plan,S09;S10;S11,https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf | https://gov.hr/?id=2591 | https://mzom.gov.hr/cjelodnevna-skola-7470/7470
CUR-05,03 Curriculum,Policy fit,B2;B3,Map digital and AI progression,1) Retrieve exact BrAIn grade-band curricula; 2) map source-checking/privacy/AI tasks; 3) separate primary extracurricular and secondary optional use; 4) keep offline equivalents,Digital curriculum lead,CUR-01,2026-10-12,2026-10-30,3,5,8-12,P1,AI alignment candidate matrix,Official programme outcomes distinguished from the book's own activities,,NOT STARTED - proposed plan,S04;S12;S13,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/
CUR-06,03 Curriculum,Policy fit,B3,Select two vocational-context pilot routes,1) Review ASOO modular resources; 2) choose contrasting qualification families with teachers; 3) map transferable tasks to actual SIU where justified,Vocational curriculum lead,CUR-01,2026-10-12,2026-10-30,3,5,6-12,P1,Qualification-specific discovery notes,No generic claim that Book 3 covers vocational modules,,NOT STARTED - proposed plan,S14;S15,https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/modularna-nastava/ | https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html
CUR-07,03 Curriculum,Inclusion,Series,Specify accessible and low-resource alternatives,"1) Review reading, motor, sensory and language barriers; 2) specify paper/oral/adapted routes; 3) check costs and family assumptions",Special educator,CUR-01,2026-10-12,2026-11-06,3,6,10-16,P0,Accessibility and inclusion requirements,Every practical task has a feasible non-hazardous alternative,,NOT STARTED - proposed plan,S23,https://mzom.gov.hr/print.aspx?id=7324&url=print
DSN-02,04 Design,Covers,Series,Prototype all three covers and spines together,1) Produce two coherent family directions; 2) test thumbnail and shelf views; 3) choose one direction before detailed artwork,Art director,DSN-01,2026-10-12,2026-10-23,3,4,16-24,P1,Three-cover/spine mockups,Recognisable set; titles legible; high-school cover not childish,,NOT STARTED - proposed plan,,
DSN-03,04 Design,Layout,Series,Prototype two- and four-page chapter templates,"1) Lay out money, food and safety examples; 2) test type sizes by age; 3) include step, stop and assessment zones",Book designer,DSN-01,2026-10-12,2026-10-30,3,5,16-26,P1,Editable chapter templates,192/224/256-page architecture feasible without tiny safety text,,NOT STARTED - proposed plan,,
OPS-01,10 Operations,Policy monitoring,Series,Review policy and approval tracker on its specified cadence,1) Recheck original official sources; 2) log enacted/guidance/experimental/unknown status; 3) update route and deadlines; 4) communicate only changes that alter product decisions,Policy lead,CUR-01,2026-10-12,2029-06-29,3,144,2-4 per quarterly review; extra during filing windows,P1,Dated policy change log,"No unverified 2027/2028 rollout, future funding or post-2026 finance strategy stated as fact",,NOT STARTED - proposed plan,S08;S10;S11;S12;S13;S14;S17;S21;S22,https://mzom.gov.hr/print.aspx?id=7472&url=print | https://gov.hr/?id=2591 | https://mzom.gov.hr/cjelodnevna-skola-7470/7470 | https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/ | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/modularna-nastava/ | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://narodne-novine.nn.hr/eli/sluzbeni/2026/81/969 | https://mfin.gov.hr/istaknute-teme/financijska-trzista-i-financijska-pismenost/financijska-pismenost-potrosaca/3293
STR-08,01 Foundation,Finance,Series,Build per-channel unit economics,1) Collect printing/freight/fulfilment terms; 2) model net receipts after relevant tax and channel costs; 3) calculate contribution and break-even; 4) stress-test returns and low sales,Commercial lead and accountant,STR-03;STR-06,2026-10-19,2026-11-06,4,6,10-16,P1,Quote-driven financial workbook,"Separate direct, bookstore, institutional and bundle cases; derived values use formulas; no assumed VAT rate",,NOT STARTED - proposed plan,,
LEG-06,02 Governance,Privacy,Series,Design child-safe research and digital privacy controls,"1) Inventory personal data; 2) define lawful basis, consent where required and assent; 3) minimise retention; 4) create incident and withdrawal process",Privacy and safeguarding leads,LEG-01,2026-10-19,2026-11-06,4,6,8-14,P0,Privacy and safeguarding protocol,Fictional examples; no child accounts by default; approved participant information before recruitment,G2 Participant protection,NOT STARTED - proposed plan,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
DSN-06,04 Design,Print,Series,Quote manufacturing options before locking design,"1) Ask printers for 300/500/1000-copy scenarios; 2) compare binding, paper, colour, freight, proof and lead time; 3) evaluate short-run alternatives",Production manager,DSN-01,2026-10-19,2026-11-06,4,6,6-10,P1,Print-option matrix,Quotes are dated; landed cost and lead time available; no print quantity committed,,NOT STARTED - proposed plan,,
LEG-07,02 Governance,Publishing,Series,Register or confirm imprint and ISBN publisher details,1) Choose stable imprint and rights owner; 2) follow current NSK forms; 3) plan separate identifiers by eligible edition/format,Production manager,LEG-02,2026-10-26,2026-11-06,5,6,3-6,P1,Publisher registration and identifier register,No inference that ISBN registration alone authorises all sales; identifiers recorded,,NOT STARTED - proposed plan,S24,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/
CUR-03,03 Curriculum,Mapping,Series,Audit topic coverage and progression,"1) Review all 180 topic outcomes; 2) check money, cooking, safety and independence progression; 3) remove repetition without removing deliberate spiral practice",Lead educator,CUR-02,2026-10-26,2026-11-06,5,6,12-20,P1,Approved topic-scope revision,One primary observable skill per topic; safety tiers and progression clear,,NOT STARTED - proposed plan,,
DSN-07,04 Design,Rights,Series,Build illustration and asset provenance system,1) Assign asset IDs; 2) attach rights/licence and creator; 3) add technical review field and required source-file delivery,Rights manager,LEG-03,2026-10-26,2026-11-06,5,6,4-6,P1,Asset ledger,No public visual asset without provenance and usage rights,,NOT STARTED - proposed plan,,
OPS-03,10 Operations,Funding watch,Series,Screen future funding calls without relying on awards,"1) Watch Ministry/cultural/local calls; 2) check citizenship, entity and nonfiction eligibility; 3) reject closed or poor-fit calls; 4) cap application effort and record decision",Funding lead,STR-06;LEG-02,2026-10-26,2029-06-29,5,144,1-2 per monthly scan; applications separately approved,P2,Funding watch and eligibility notes,2027 literary-creation call already closed 14 September 2026; base-case grant income remains zero,,NOT STARTED - proposed plan,S32,https://min-kulture.gov.hr/vijesti-8/objavljujemo-javni-poziv-za-dodjelu-potpora-za-poticanje-knjizevnoga-stvaralastva-u-2027-godini/30237
STR-09,01 Foundation,Planning,Series,Reserve realistic production capacity,1) Translate quotes into contracted capacity; 2) check overlapping author/editor/design roles; 3) stress-test deadlines; 4) revise later dates if resources are insufficient,Series producer,STR-05;STR-07,2026-11-02,2026-11-13,6,7,5-8,P1,Resource-loaded milestone plan,No single person scheduled as several simultaneous full-time roles; indicative dates accepted or replaced,,NOT STARTED - proposed plan,,
LEG-09,02 Governance,Claims,Series,Create permitted-claims and disclosure rules,"1) List prohibited endorsement/certification claims; 2) distinguish mapped, reviewed, submitted and approved; 3) define evidence required for learning/marketing statements",Publisher counsel and editor,LEG-04;LEG-05,2026-11-02,2026-11-13,6,7,3-5,P1,Claims checklist,No official logo or affiliation without written permission,,NOT STARTED - proposed plan,S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
CUR-08,03 Curriculum,School delivery,Series,Choose realistic classroom entry points,"1) Discuss class meeting, library, project and extracurricular routes; 2) check school timetable/facilities; 3) record approval and procurement conditions",School-channel lead,LEG-04;CUR-02,2026-11-02,2026-11-13,6,7,6-10,P1,School-use route matrix,No implicit permission to use unapproved commercial materials,,NOT STARTED - proposed plan,S08;S10;S16;S17,https://mzom.gov.hr/print.aspx?id=7472&url=print | https://gov.hr/?id=2591 | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
VOC-01,03 Curriculum,Jurisdiction,B3,Clarify AZOO versus ASOO for general and vocational variants,"1) Describe general cross-curricular Book 3 and possible qualification-specific appendices; 2) ask the competent agencies for written route guidance; 3) record distinct deadlines, copies and declarations; 4) avoid prohibited agency-staff authorship/review conflicts",Vocational lead and counsel,LEG-05;CUR-06,2026-11-02,2026-11-13,6,7,4-8,P0,Written jurisdiction enquiry and response log,No assumption that a vocational-subject supplement follows AZOO procedure,,NOT STARTED - proposed plan,S16;S17;S34,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/
DSN-04,04 Design,System,Series,Build layout styles and icon library,1) Create named paragraph/object styles; 2) define three safety tiers with shapes and words; 3) add Croatian typography and glossary rules,Book designer,DSN-03,2026-11-02,2026-11-13,6,7,14-22,P1,Production-ready style library,No meaning depends on colour alone; diacritics and glyphs checked,,NOT STARTED - proposed plan,,
DSN-05,04 Design,Companions,Series,"Prototype cards, worksheets, guides and passport",1) Reuse shared icons and topic IDs; 2) make low-ink A4 and A6 variants; 3) test photocopy and handwriting space,Companion designer,DSN-03,2026-11-02,2026-11-13,6,7,12-18,P1,Reusable companion templates,Safety labels survive every format; trade book remains reusable,,NOT STARTED - proposed plan,,
CUR-09,03 Curriculum,Assessment,Series,Define age-appropriate performance evidence,"1) Draft short observable checks; 2) count appropriate help-seeking as competence; 3) separate usability, learning and market evidence",Assessment lead,CUR-03,2026-11-09,2026-11-20,7,8,8-12,P1,Rubrics and pilot measures,"No ranking children, diagnosing readiness or grading political beliefs",,NOT STARTED - proposed plan,,
CUR-10,03 Curriculum,Mapping,Series,Validate seed curriculum anchors against exact lessons,1) Review all rows in 07; 2) confirm exact source and grade; 3) mark partial coverage; 4) assign unmapped topics for later educator work,Curriculum lead,CUR-03,2026-11-09,2026-11-20,7,8,10-16,P1,Reviewed seed mapping and gap backlog,Source-verified code is not misrepresented as an approved lesson,,NOT STARTED - proposed plan,S01;S02;S03;S04;S05;S06;S07;S09,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf
PIL-01,05 Prototype,Writing,Series,Write nine representative prototype chapters,"1) Draft B1-016/020/032, B2-017/019/044 and B3-002/013/047; 2) include all assets and sources; 3) use paper versions for initial testing",Lead author,CUR-03;DSN-03;STR-05,2026-11-09,2026-11-27,7,9,35-55,P1,Nine complete prototype packets,"Three ages and food, money, communication/digital reasoning represented",,NOT STARTED - proposed plan,,
PIL-03,05 Prototype,Technical feasibility,B3,Validate automotive chapter concept before authoring,1) Select a specific training vehicle/manual with technician; 2) draw inert jump-start and lifting decision diagrams; 3) assess what belongs in print versus instructor-only demonstration,Automotive reviewer,STR-05;LEG-03,2026-11-09,2026-12-04,7,10,8-14,P0,Automotive content boundary and diagram notes,"No universal connection sequence, EV high-voltage procedure or roadside practice",,NOT STARTED - proposed plan,S30,https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
STR-10,01 Foundation,Gate,Series,Approve discovery-to-prototype investment,1) Review research and cash model; 2) choose the primary buyer promise; 3) record stop/revise/continue decision,Series producer,STR-04;STR-08;STR-09,2026-11-16,2026-11-20,8,8,2-4,P0,Gate decision note,Proceed only with credible differentiation and funded prototype; sales targets remain hypotheses,G1 Prototype funding,NOT STARTED - proposed plan,,
DSN-08,04 Design,Proofing,Series,Print and inspect the three age-band prototypes,"1) Print actual-size spreads and cover set; 2) inspect contrast, gutter and icons; 3) record changes for reader testing",Art director,DSN-02;DSN-04;DSN-05,2026-11-16,2026-11-27,8,9,6-10,P1,Physical design proofs and defect log,No cropped content or illegible labels; printer constraints reflected,,NOT STARTED - proposed plan,,
WEB-01,06 Platform,Architecture,Series,Design an account-free content and QR structure,1) Use permanent topic IDs; 2) choose publisher-owned redirects; 3) version supplements and print fallbacks; 4) specify backups and corrections,Web lead,LEG-06;LEG-08,2026-11-16,2026-11-27,8,9,8-12,P1,Content architecture,"No child account, essential paywall or third-party short-link dependence",,NOT STARTED - proposed plan,S12;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
PIL-04,05 Prototype,Recruitment,Series,Recruit and brief a diverse voluntary pilot sample,1) Use approved adult/school channels; 2) obtain required permissions and assent; 3) include supported readers and varied household contexts; 4) schedule outside school holidays,Pilot coordinator,LEG-04;LEG-06;CUR-09,2026-11-23,2026-12-11,9,11,8-12,P1,Pilot schedule and participant information,"Planning target 12 readers per book band, not a statistically representative sample; no personal-data-rich dataset",,NOT STARTED - proposed plan,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
DSN-09,04 Design,Gate,Series,Freeze design-system version 1 for pilot,1) Resolve proof defects; 2) approve common templates and provisional page counts; 3) preserve change log for pilot revisions,Series producer,DSN-08,2026-11-30,2026-12-04,10,10,2-4,P1,Design system v1,All three books demonstrably form a set,G3 Design ready,NOT STARTED - proposed plan,,
PIL-02,05 Prototype,Safety,Series,Obtain expert and age-level review of prototypes,"1) Check each outcome, claim and illustration; 2) assess privacy/safeguarding and practical alternatives; 3) resolve all critical issues",Review panel,PIL-01;LEG-06;CUR-07,2026-11-30,2026-12-11,10,11,18-30,P0,Signed prototype review sheets,Zero unresolved critical safety/legal errors before children see activities,G4 Safe to test,NOT STARTED - proposed plan,,
WEB-02,06 Platform,Build,Series,Build a minimal accessible website and companion library,"1) Create series, book, sample and adult-contact pages; 2) implement stable asset routes; 3) use accessible navigation and low tracking; 4) add privacy/corrections pages",Web lead,WEB-01;DSN-09,2026-12-07,2027-01-22,11,17,30-50,P1,Staging website,Works on mobile/keyboard; no mandatory app or account; public claims reviewed,,NOT STARTED - proposed plan,,
PIL-05,05 Prototype,Reader testing,Series,Run the first low-risk reader usability sessions,1) Use reviewed paper prototypes; 2) observe comprehension and navigation without coaching beyond agreed support; 3) log confusion and stop signals,Pilot educator,PIL-02;PIL-04;DSN-09,2026-12-14,2026-12-18,12,12,10-16,P1,Anonymous observation notes,No live hazardous activity; no diagnostic or effectiveness claims,,NOT STARTED - proposed plan,,
PIL-08,05 Prototype,Market test,Series,Test a clear adult-facing offer and price hypotheses,1) Show cover and sample to adults; 2) test willingness to pay against real alternatives; 3) use a privacy-compliant interest list; 4) take no money without compliant terms,Commercial lead,PIL-02;STR-08;LEG-02;LEG-09,2026-12-14,2027-01-29,12,18,12-18,P1,Offer-test results,Actual behaviour distinguished from compliments; no invented conversion rate,,NOT STARTED - proposed plan,,
PIL-06,05 Prototype,Revision,Series,Revise confusing wording and visual patterns,1) Group observed issues by severity; 2) rewrite unclear steps; 3) recheck changed safety text and icons,Managing editor,PIL-05,2026-12-21,2027-01-08,13,15,12-20,P1,Revised prototype v2,Every critical issue has closure evidence; adult work only over holiday buffer,,NOT STARTED - proposed plan,,
PIL-07,05 Prototype,Reader / teacher testing,Series,Run the second round and educator feasibility checks,1) Retest revised tasks with appropriate readers; 2) ask educators to prepare a lesson using only the guide; 3) time preparation and note equipment barriers,Pilot educator,PIL-06;LEG-04,2027-01-11,2027-01-29,16,18,16-24,P1,Retest and educator feedback,Proposed eight educator reviewers across stages; lawful evaluation route; limits documented,,NOT STARTED - proposed plan,,
WEB-03,06 Platform,Commerce,Series,"Implement adult checkout, invoicing and fulfilment test","1) Configure approved business/payment route; 2) add accurate shipping/returns terms; 3) test receipts, cancellations and refunds; 4) protect order data",Commerce lead,WEB-02;LEG-02,2027-01-25,2027-02-12,18,20,12-20,P0,Tested adult purchase flow,Accountant/counsel accepts tax/invoice/consumer process; no live preorders before readiness,,NOT STARTED - proposed plan,,
PIL-09,05 Prototype,Analysis,Series,Summarise usability and revise scope,"1) Analyse observed checks by age and support; 2) document sample limitations; 3) revise topics, templates and cost model; 4) identify weak modules",Research lead,PIL-07;PIL-08,2027-02-01,2027-02-05,19,19,8-12,P1,Pilot findings and changed backlog,Proposed usability target: 80% complete at least 2 of 3 core checks with agreed age-appropriate support; not proof of efficacy,,NOT STARTED - proposed plan,,
PIL-10,05 Prototype,Gate,Series,Decide whether to commission Book 1,"1) Review safety, comprehension, buyer evidence and revised quotes; 2) approve maximum print exposure; 3) stop, revise or release the next budget stage",Series producer,PIL-09;PIL-03,2027-02-08,2027-02-12,20,20,3-5,P0,Book 1 production go/no-go,Zero unresolved critical risks; adequate contracted capacity and cash; decision recorded,G5 Book 1 commission,NOT STARTED - proposed plan,,
WEB-04,06 Platform,Quality,Series,"Run privacy, security and accessibility review",1) Audit data collection and processors; 2) test keyboard/mobile and readable alternatives; 3) check access controls/backups; 4) remove blocking issues,Independent web reviewer,WEB-03,2027-02-15,2027-02-26,21,22,10-16,P1,Web audit and fixes,No critical privacy/security/access blockers; restore test completed,G6 Web launch,NOT STARTED - proposed plan,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B1-D01,07.1 Book 1 production,Authoring,B1,Draft module 01: Ja i moj dan,"1) Draft B1-001, B1-002, B1-003, B1-004, B1-005, B1-006 within allocated pages; 2) use concrete Croatian scenarios and the listed observable checks; 3) draft worksheet/card/guide notes from the same source; 4) log claims, permissions and stop conditions. Chapters: Jutro bez žurbe; Moja torba, moja provjera; Što obući danas?; Vezice, patentni zatvarač i gumbi; Koliko još imam vremena?; Velik zadatak, mali koraci",Book author,PIL-10;CUR-03;DSN-09,2027-02-15,2027-02-19,21,21,18-30,P1,Six topic manuscript packets for B1-M01,"All six topics have source notes, safety tier, accessible alternative and asset IDs; no unverified placeholders in safety steps",,NOT STARTED - proposed plan,,
