Topic_ID,Book_Number,Book_Title,Module_ID,Module_Title,Topic_Number,Chapter_Title_HR,Target_Grades,Cycle_Context,Learning_Outcome_Draft,Offline_Activity,Observable_Success_Check,Supervision_Tier,Safety_Boundary,Expert_Review_Required,Theme_Tags,Curriculum_Status,Curriculum_Map_IDs,Core_Pages,Lesson_Minutes_Planning_Assumption,Lower_Readiness_Adaptation,Higher_Readiness_Extension,Companion_Asset_IDs,Digital_Optional,Evidence_And_Update_Notes,Source_IDs,Source_URLs,Authoring_Status
B1-011,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,11,"Mjerim, slažem i izrađujem",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Use a ruler and safe craft tools to make a useful object,Build a cardboard pencil holder using pre-cut pieces,"Checks fit, keeps the workspace clear and explains the sequence",A - responsible adult actively supervises practical activity,Rounded scissors only as approved; adult handles blades and hot glue,Practical-skills teacher,UKU;OSR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-054,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-011-W01;B1-011-C01;B1-011-TG;B1-011-PG;B1-M02-MISSION,B1-011-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S02;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
B1-012,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,12,"Kada ne diram, nego zovem odraslu osobu",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Identify home hazards and choose a safe response,"Sort outlet, damaged cable, medicine and cleaning-product picture cards",Recognises every critical do-not-touch situation,L - low-risk paper/ordinary activity,"No opening sockets, mixing substances or touching unknown batteries",Safety educator,ZDR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-045,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-012-W01;B1-012-C01;B1-012-TG;B1-012-PG;B1-M02-MISSION,B1-012-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B1-013,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,13,Čiste ruke prije kuhanja,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,"Prepare hands, surface and ingredients for food handling",Use a picture checklist before a cold snack activity,Identifies handwashing and a clean preparation area,A - responsible adult actively supervises practical activity,Food activity only after allergy and hygiene checks,Food-safety specialist,ZDR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-013-W01;B1-013-C01;B1-013-TG;B1-013-PG;B1-M03-MISSION,B1-013-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S03;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B1-014,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,14,Perem voće i povrće,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Prepare suitable produce with clean water,Wash one adult-selected item and tidy the workspace,Follows the agreed sequence without contaminating the item,A - responsible adult actively supervises practical activity,No tasting unknown plants; adult checks suitability,Food-safety specialist,ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-014-W01;B1-014-C01;B1-014-TG;B1-014-PG;B1-M03-MISSION,B1-014-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S05;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B1-015,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,15,"Režem mekano, uz odraslu osobu",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Use an age-appropriate utensil on soft food,Cut banana or equivalent soft food with an approved child-safe tool,Shows safe workspace and stops when the adult asks,A - responsible adult actively supervises practical activity,"No sharp knife, raw meat or unsupervised cutting",Cooking educator,ZDR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-015-W01;B1-015-C01;B1-015-TG;B1-015-PG;B1-M03-MISSION,B1-015-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-016,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,16,Moj prvi doručak bez štednjaka,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Assemble a simple cold meal from available ingredients,Prepare bread with a suitable spread plus fruit or equivalent,Follows hygiene and allergy checks and cleans up,A - responsible adult actively supervises practical activity,Offer low-cost and allergen-substitute versions; no compulsory eating,Cooking educator,ZDR;POD,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-048,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-016-W01;B1-016-C01;B1-016-TG;B1-016-PG;B1-M03-MISSION,B1-016-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S01,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,PLANNED - not drafted or professionally validated
B1-017,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,17,Recept je skup jasnih koraka,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Follow pictures and measure small quantities,Prepare a no-heat recipe using spoon and cup measures,Measures agreed quantities and follows the sequence,A - responsible adult actively supervises practical activity,Adult verifies ingredient safety; no raw-egg tasting,Cooking educator,UKU;ZDR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-017-W01;B1-017-C01;B1-017-TG;B1-017-PG;B1-M03-MISSION,B1-017-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S07,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,PLANNED - not drafted or professionally validated
B1-018,1,"Mali koraci, velike vještine",B1-M03,Prvi koraci u kuhinji,18,Hrana nije igra pogađanja,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Ask before eating unfamiliar food and recognise storage cues,Choose what to ask about an unlabelled lunchbox or leftovers,Asks the adult rather than smelling or tasting to test safety,L - low-risk paper/ordinary activity,No tasting to determine safety; allergy information stays private,Food-safety specialist,ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-048,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-018-W01;B1-018-C01;B1-018-TG;B1-018-PG;B1-M03-MISSION,B1-018-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S05;S29,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/,PLANNED - not drafted or professionally validated
B1-019,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,19,Trebam ili želim?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,"Distinguish essentials, wishes and different family choices",Sort illustrated purchases for a fictional day,Explains choices without judging another family's resources,L - low-risk paper/ordinary activity,Use fictional households; never require income disclosure,Financial educator,POD;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-003,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-019-W01;B1-019-C01;B1-019-TG;B1-019-PG;B1-M04-MISSION,B1-019-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B1-020,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,20,Upoznajem eure i cente,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Recognise denominations and equivalent amounts,Make the same small amount in two ways with play money,Builds two correct combinations,L - low-risk paper/ordinary activity,Use clearly marked teaching money; no real-account data,Primary mathematics teacher,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-001,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-020-W01;B1-020-C01;B1-020-TG;B1-020-PG;B1-M04-MISSION,B1-020-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-021,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,21,Koliko trebam platiti i dobiti natrag?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Calculate a small payment and check change,Run a pretend shop with three simple prices,Checks the agreed price and correct change,L - low-risk paper/ordinary activity,No child sent shopping alone as a requirement,Primary mathematics teacher,POD;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-001,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-021-W01;B1-021-C01;B1-021-TG;B1-021-PG;B1-M04-MISSION,B1-021-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-022,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,22,Štedim za svoj cilj,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Set a realistic small saving goal,Draw a goal tracker for fictional pocket money,Shows a feasible sequence of deposits,L - low-risk paper/ordinary activity,Pocket money is not assumed; tokens can replace money,Financial educator,POD;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-003,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-022-W01;B1-022-C01;B1-022-TG;B1-022-PG;B1-M04-MISSION,B1-022-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B1-023,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,23,Koji izbor mi više odgovara?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,"Compare price, usefulness and durability simply",Compare two fictional water bottles or pencil cases,Gives one price reason and one non-price reason,L - low-risk paper/ordinary activity,No brand promotion or pressure to purchase,Financial educator,POD;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-002,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-023-W01;B1-023-C01;B1-023-TG;B1-023-PG;B1-M04-MISSION,B1-023-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
B1-024,1,"Mali koraci, velike vještine",B1-M04,Moj prvi novac,24,Reklama ne odlučuje umjesto mene,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Recognise persuasion and pause before a purchase,Discuss a made-up toy advertisement and missing information,Names an advertising cue and asks one useful question,L - low-risk paper/ordinary activity,"No real gambling, checkout or advertising links",Media-literacy educator,POD;IKT,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-002,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-024-W01;B1-024-C01;B1-024-TG;B1-024-PG;B1-M04-MISSION,B1-024-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S01;S04;S12;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/,PLANNED - not drafted or professionally validated
B1-025,1,"Mali koraci, velike vještine",B1-M05,Brinem se o sebi,25,Brinem se o čistoći tijela,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Choose an age-appropriate hygiene routine,Build a private routine with picture choices,Names suitable actions and when to ask an adult,L - low-risk paper/ordinary activity,No public inspection of bodies or hygiene comparisons,School-health clinician,ZDR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-049,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-025-W01;B1-025-C01;B1-025-TG;B1-025-PG;B1-M05-MISSION,B1-025-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
