Product_ID,Book_or_Series,Product_Name,Audience,Scope_and_Format,Release_Stage,Dependencies,Commercial_Model_Proposed,Release_Gate,Status,Source_IDs,Source_URLs
B2-PG,B2,Vodič za roditelje i skrbnike,Adults supporting the reader,Approx. 24 pages; prompts for all 60 skills grouped by module; boundaries; no-cost alternatives,With trade book,B2-BOOK approved content,Accessible downloadable companion; printed add-on only after demand,Reviewed family-neutral language and topic-index coverage,PLANNED - not produced,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B2-CARDS,B2,Kartice za životne vještine,Families; later approved classrooms,72 cards: 60 skill prompts + 10 mission prompts + 2 instruction cards; answer/support on reverse,Printable with launch; physical deck only after demand,B2-BOOK; shared card templates,Print-at-home base; paid boxed deck after quote/MOQ gate,All safety labels retained; no unsafe challenge or misleading certification,PLANNED - not produced,,
B2-WORKSHEETS,B2,Radni listovi i rješenja,Readers / approved teacher use,60 low-ink A4 worksheets; separate adult answer notes; offline alternatives to all web tasks,With trade book,B2-BOOK approved topic assets,Base download; classroom copying licence reviewed separately,No essential task paywall; no real private-data collection,PLANNED - not produced,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B2-PASSPORT,B2,Putovnica vještina,Readers / caregivers,12-page optional private tracker for 60 skills; help-seeking counts; no public ranking,With trade book,B2-BOOK; assessment rubric,Printable included; optional print add-on,"Not a qualification, school grade or diagnostic readiness test",PLANNED - not produced,,
B2-TG,B2,Vodič za učitelje i nastavnike,Educators,Approx. 96 pages: 60 lesson briefs; 12-lesson starter path; 35-session club option; rubric; differentiation; curriculum matrix,Draft after pilot; formal school version after classification route,B2-BOOK; curriculum review; classroom feasibility checks,Free evaluation excerpt; full guide/licence pricing researched; no inducements,Exact grade mapping reviewed; classroom route legally cleared,PLANNED - not produced,S01;S02;S03;S04;S05;S06;S07;S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B2-EDU,B2,Obrazovno izdanje - candidate,Approved school use if accepted,Stable content core + teacher guide + lesson/assessment package; edition and approval scope separately controlled,B1: candidate 2028/2029; B2/B3: candidate 2029/2030,B2-TG; written AZOO classification; complete dossier,Paid educational material only after required route and selection,No approval claims before written decision; repository and funding checked separately,PLANNED - not produced,S15;S16;S17;S18;S19;S20,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/
B2-AUDIO,B2,Slušaj i prati,Readers needing audio or preferring co-reading,Human-reviewed chapter audio and transcripts; safety labels spoken; captions for any video,After trade stabilization,B2-BOOK frozen text; narration rights,Accessible companion; scope depends on quote,Pronunciation and safety review; no audio-only replacement for visual safety detail,PLANNED - not produced,,
B2-CLASSKIT,B2,Kutija za radionice - candidate,Schools / libraries / facilitators,"Guide; reusable cards; worksheets; only inert safe props; no tools, chemicals or electrical hardware",After approved guide and demand,B2-TG; applicable approvals; workshop insurance,Institutional licence and replenishable print kit if viable,"No food, medical, mechanical or electrical kit without separate compliance",PLANNED - not produced,S16;S17;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B3-BOOK,B3,Spremni za samostalan život,Families / readers,60 skills; 10 modules; 10 missions; 256 pages; 190 x 240 mm proposed,Trade target 2028-10-15,Shared design; complete reviews; print proof,Paid trade book; direct sales and negotiated distribution,No unresolved safety/legal issues; signed proof; quote-based cash gate,PLANNED - not produced,S24;S25;S26,https://nsk.hr/nakladnici/hrvatski-ured-za-isbn/ | https://nsk.hr/nakladnici/cip/ | https://nsk.hr/nakladnici/obvezni-primjerak/
B3-PG,B3,Vodič za roditelje i skrbnike,Adults supporting the reader,Approx. 24 pages; prompts for all 60 skills grouped by module; boundaries; no-cost alternatives,With trade book,B3-BOOK approved content,Accessible downloadable companion; printed add-on only after demand,Reviewed family-neutral language and topic-index coverage,PLANNED - not produced,S27,https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B3-CARDS,B3,Kartice za životne vještine,Families; later approved classrooms,72 cards: 60 skill prompts + 10 mission prompts + 2 instruction cards; answer/support on reverse,Printable with launch; physical deck only after demand,B3-BOOK; shared card templates,Print-at-home base; paid boxed deck after quote/MOQ gate,All safety labels retained; no unsafe challenge or misleading certification,PLANNED - not produced,,
B3-WORKSHEETS,B3,Radni listovi i rješenja,Readers / approved teacher use,60 low-ink A4 worksheets; separate adult answer notes; offline alternatives to all web tasks,With trade book,B3-BOOK approved topic assets,Base download; classroom copying licence reviewed separately,No essential task paywall; no real private-data collection,PLANNED - not produced,S16;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
B3-PASSPORT,B3,Putovnica vještina,Readers / caregivers,12-page optional private tracker for 60 skills; help-seeking counts; no public ranking,With trade book,B3-BOOK; assessment rubric,Printable included; optional print add-on,"Not a qualification, school grade or diagnostic readiness test",PLANNED - not produced,,
B3-TG,B3,Vodič za učitelje i nastavnike,Educators,Approx. 96 pages: 60 lesson briefs; 12-lesson starter path; 35-session club option; rubric; differentiation; curriculum matrix,Draft after pilot; formal school version after classification route,B3-BOOK; curriculum review; classroom feasibility checks,Free evaluation excerpt; full guide/licence pricing researched; no inducements,Exact grade mapping reviewed; classroom route legally cleared,PLANNED - not produced,S01;S02;S03;S04;S05;S06;S07;S16;S17,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/
B3-EDU,B3,Obrazovno izdanje - candidate,Approved school use if accepted,Stable content core + teacher guide + lesson/assessment package; edition and approval scope separately controlled,B1: candidate 2028/2029; B2/B3: candidate 2029/2030,B3-TG; written AZOO/ASOO classification for exact cross-curricular or vocational-subject scope; complete competent-agency dossier,Paid educational material only after required route and selection,No approval claims before written competent-agency decision; separate vocational variant if needed; repository/selection/funding separate,PLANNED - not produced,S15;S16;S17;S18;S19;S20;S34,https://narodne-novine.nn.hr/clanci/sluzbeni/2025_07_105_1477.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/agencija-za-odgoj-i-obrazovanje-objavljuje-katalog-odobrenih-drugih-obrazovnih-materijala/ | https://www.asoo.hr/obrazovanje/strukovno-obrazovanje/drugi-obrazovni-materijali/
B3-AUDIO,B3,Slušaj i prati,Readers needing audio or preferring co-reading,Human-reviewed chapter audio and transcripts; safety labels spoken; captions for any video,After trade stabilization,B3-BOOK frozen text; narration rights,Accessible companion; scope depends on quote,Pronunciation and safety review; no audio-only replacement for visual safety detail,PLANNED - not produced,,
B3-CLASSKIT,B3,Kutija za radionice - candidate,Schools / libraries / facilitators,"Guide; reusable cards; worksheets; only inert safe props; no tools, chemicals or electrical hardware",After approved guide and demand,B3-TG; applicable approvals; workshop insurance,Institutional licence and replenishable print kit if viable,"No food, medical, mechanical or electrical kit without separate compliance",PLANNED - not produced,S16;S17;S27,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
SER-STYLE,Series,Jedan prepoznatljiv komplet,Design and production team,"Common cover grid, trim, spine numbering, typography, icons, characters and age progression",Prototype first,Rights and design brief,Internal IP asset,Three books viewed together at thumbnail and print size,PLANNED - not produced,,
SER-SAMPLER,Series,Prvih 12 vještina - teacher sampler candidate,Educators evaluating fit,Standalone 12 low-risk lesson pack drawn from all three bands; exact grade labels; no live risky practice,Optional March 2027 submission only if complete,Pilot; code-level mapping; entity and AZOO classification,Not a backdoor unapproved school product; price/free status chosen with counsel,Full legal/pedagogical gate before 31 March; otherwise defer,PLANNED - not produced,S16;S17;S18;S19,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://www.azoo.hr/drugi-obrazovni-materijali-arhiva/postupak-za-objavu-drugog-obrazovnog-materijala-u-virtualni-repozitorij/ | https://www.azoo.hr/app/uploads/2020/11/Postupak-za-objavu-DOM-a.pdf | https://www.azoo.hr/app/uploads/2020/10/Izmjena-postupka.pdf
SER-WEB,Series,Vještine za život - website,Parents; readers without accounts,Accessible public pages; book samples; companion library; purchase via compliant adult checkout; contact and corrections,Before Book 1 launch,Business/legal review; content IDs; hosting/security,Direct parent-facing commerce; no child ads,"No child accounts, behavioural ads or unnecessary analytics",PLANNED - not produced,S12;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
SER-QR,Series,Trajna knjižnica dodataka,Readers / educators,Publisher-owned redirect path per content ID; stable versioned supplements; human-readable short code,Before first print,Domain control; backup; link policy,No registration required for core extras,Printed fallback and no dependency on a third-party shortener,PLANNED - not produced,S12;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
SER-QUIZ,Series,Što bi ti napravio?,Readers / educators,Three short scenario questions per skill; private immediate feedback; paper equivalents,Book 1 launch then per book,Reviewed worksheet questions; accessibility testing,No child progress storage at first,"No high-stakes scoring, accounts or chatbot advice",PLANNED - not produced,S12;S13;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
SER-POSTERS,Series,Zastani - provjeri - zatraži pomoć,Families / approved classrooms,A3/A4 low-ink planning and help-seeking posters; no universal mechanical/medical sequence,With Book 1,Safety language frozen,Printable included; physical optional,Same safety-label hierarchy and current reviewed contact guidance,PLANNED - not produced,,
SER-VIDEO,Series,Kratke demonstracije,Adults and appropriately supervised readers,Small selected video library; professional demonstrators; captions and illustrated transcript,After demand; safety videos only after specialist production review,Filming rights; specific protocol; accessibility,"Prioritise highest-value 6-12 demonstrations, not 180 videos",No children in risk demonstrations; no universal jump-start tutorial,PLANNED - not produced,S28;S29;S30,https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551 | https://www.hah.hr/potrosacki-kutak/5-kljuceva-sigurnosti-hrane/ | https://www.fordservicecontent.com/Ford_Content/vdirsnet/OwnerManual/Home/Content?ProcUid=G2099248&Uid=G2099247&countryCode=USA&languageCode=en&vFilteringEnabled=False&variantid=7983
SER-TRAINER,Series,Vodič za voditelje radionica,Qualified educators / facilitators,"Preparation, permissions, risk assessment, equipment, inclusive facilitation, incident response and feedback",After safe pilots and applicable approval route,Teacher packs; professional review; insurance/legal route,Optional paid facilitator service; no qualification claims,Book workshop is not first-aid/mechanic certification,PLANNED - not produced,S16;S27;S28,https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_116_2288.html | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/ | https://www.hck.hr/kako-pomoci/mali-programi/prva-pomoc-10551/10551
SER-BOX,Series,VJEŠTINE ZA ŽIVOT - komplet 1-3,Gift buyers / libraries,Matching three-book set; optional slipcase fitted to measured production spines,After Book 3 and proven demand,All three stable editions; stock and shipping economics,"Bundle pricing based on real margin, not assumed discount","Check total parcel weight, stock exposure and edition compatibility",PLANNED - not produced,,
SER-APP,Series,Interactive application - future gate,Families / optionally licensed schools,Scenario engine and offline content first; no open-ended child advice chatbot,Only after print demand and repeat-use evidence,Privacy impact assessment; paid discovery; measurable demand,Business model tested without child ads or manipulative monetisation,Do not build before evidence justifies operating and safeguarding costs,PLANNED - not produced,S12;S13;S27,https://narodne-novine.nn.hr/eli/sluzbeni/2026/22/257 | https://www.carnet.hr/carnet-ov-projekt-brain-od-ove-skolske-godine-kurikuli-o-umjetnoj-inteligenciji-dostupni-od-5-razreda-osnovne-do-kraja-srednje-skole/ | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
SER-L10N,Series,Local-language editions - future gate,Separate regional markets,"Adapt names, currency, institutions, traffic/emergency rules, curriculum and cultural examples; not literal translation alone",After Croatian edition validation,Territory rights; local editor; local legal/safety reviewers,Licensed or partner editions tested individually,No Croatian approval or law claims transferred to another country,PLANNED - not produced,,
SER-ACCESS,Series,Accessible alternative editions,Readers needing different formats,Accessible HTML; large-print sample; audio/transcripts; expert-designed easy-read adaptations as funded,Core accessibility at launch; separate formats after testing,Special educator; rights; accessibility review,Accessible core extras included; specialist formats quote-dependent,Do not label dyslexia-friendly or special-curriculum compliant without evidence,PLANNED - not produced,S23;S27,https://mzom.gov.hr/print.aspx?id=7324&url=print | https://azop.hr/primjena-opce-uredbe-o-zastiti-podataka-u-skolskim-ustanovama/
