Map_ID,Official_Source_ID,Official_Code,Official_Cycle_Or_Grade,Official_Anchor_English_Paraphrase,Proposed_Topic_IDs,Proposed_Teaching_Route,Observable_Evidence,Alignment_Status,Coverage_Limitation,Required_Signoff,Source_URLs,Verified_As_Of
CM-011,S02,osr B.1.3.,1: OŠ 1-2,Resolve conflict with support,B1-034;B1-035,Class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Not appropriate for requiring confrontation in abuse situations,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-012,S02,osr B.2.2.,2: OŠ 3-5,Communication and negotiation in relationships,B1-031;B1-032;B2-033,Croatian / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Book 2 mapping limited to grade 5 here,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-013,S02,osr B.2.3.,2: OŠ 3-5,Conflict-resolution strategies,B1-034;B1-035;B2-032,Class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Grade-level adaptation needed; do not equate abuse with mutual disagreement,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-014,S02,osr B.2.4.,2: OŠ 3-5,Teamwork skills,B1-058;B1-060;B2-034,Team project,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Use accessible roles and a supported individual alternative,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-015,S02,osr A.3.2.,3: OŠ 6-8,Manage emotions and behaviour,B2-005;B2-026,Class meeting / health,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Not a diagnostic or therapy programme,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-016,S02,osr B.3.2.,3: OŠ 6-8,Communication and respectful relationships,B2-031;B2-033;B2-035,Class meeting / Croatian,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Safeguarding review for distress and coercion examples,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-017,S02,osr B.3.3.,3: OŠ 6-8,Nonviolent conflict resolution and assertiveness,B2-030;B2-032,Class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No pressure to disclose experiences or confront unsafe people,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-018,S02,osr B.3.4.,3: OŠ 6-8,Collaboration and teamwork,B2-034;B2-059,Project learning,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Actual community activity needs permission and risk assessment,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-019,S02,osr A.4.4.,4: SŠ early years,Manage educational and career pathways,B3-007;B3-008;B3-012,Career guidance / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Check qualification and current progression routes for three-year programmes,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-020,S02,osr A.5.1.,5: SŠ later years,Identity in adult social roles,B3-024;B3-037;B3-060,Class meeting / life transitions,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No implication that all students leave home or become legally adult at the same time,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,2026-09-22
CM-021,S03,uku A.1.1.,1: OŠ 1-2,Find and use information with teacher support,B1-055;B1-056,School library / integrated teaching,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Use small accessible reference excerpts,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-022,S03,uku B.2.1.,2: OŠ 3-5,Set learning goals and plan with support,B1-006;B1-057;B2-001;B2-003,All subjects / study skills,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Book 2 connection here is grade 5,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-023,S03,uku A.4/5.1.,4/5: SŠ combined,"Independently find, transform and apply information",B3-012;B3-047;B3-049;B3-050;B3-054,Cross-curricular / library,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Retain the official combined 4/5 code; service details still need current verification,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-024,S03,uku A.4/5.2.,4/5: SŠ combined,Use learning and problem-solving strategies,B3-046;B3-055;B3-058;B3-059;B3-060,Project / mathematics / ICT,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Evidence is proposed; teacher decides sufficient task complexity,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-025,S03,uku A.4/5.4.,4/5: SŠ combined,Critically evaluate arguments and information,B3-004;B3-045;B3-047;B3-052,Cross-curricular / library,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","Grade quality of evidence, not agreement with a political or personal choice",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-026,S03,uku B.4/5.1.,4/5: SŠ combined,Independently plan learning goals,B3-012;B3-036;B3-058,Career guidance / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Adapt workload; do not equate competence with excessive productivity,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,2026-09-22
CM-027,S04,ikt A.1.3.,1: OŠ 1-2,Safe and responsible device/programme use,B1-043;B1-044;B1-045;B1-046,Printed digital-safety scenarios,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","No actual accounts, devices or credentials needed",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-028,S04,ikt A.2.3.,2: OŠ 3-5,Responsible and secure device/programme behaviour,B1-043;B1-044;B1-046;B2-043,ICT / printed scenarios,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Cycle-2 link to Book 2 is grade 5; school permission for real devices,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-029,S04,ikt A.3.2.,3: OŠ 6-8,"Independent device, software and file management",B2-043,ICT extension,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Existing passphrase lesson is partial; add file/backup extension for full expectation,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-030,S04,ikt A.3.3.,3: OŠ 6-8,Create a secure digital environment,B2-043;B2-044;B2-048,ICT / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Current cyber/safeguarding review is separate from curriculum fit,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-031,S04,ikt A.3.4.,3: OŠ 6-8,Analyse technology effects on health and environment,B2-047;B2-053,ICT / health / sustainability,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No deterministic claims about technology harms,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-032,S04,ikt C.4.2.,4: SŠ early years,Conduct complex information searches,B3-045;B3-049;B3-050,ICT / library,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Optional approved device extension; paper source set remains sufficient for base activity,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-033,S04,ikt C.4.3.,4: SŠ early years,Critically evaluate sources and search results,B3-045;B3-047,ICT / media literacy,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Do not infer an identical cycle-5 code; map later-year route separately,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-034,S04,ikt C.4.4.,4: SŠ early years,Manage information responsibly,B3-043;B3-045;B3-048,ICT / cross-curricular,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Privacy and copyright review required; not all outcome components covered,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_150.html,2026-09-22
CM-035,S05,odr C.1.1.,1: OŠ 1-2,Positive care for nature and living surroundings,B1-053;B1-054,Integrated teaching,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Only safe identified plants; no foraging,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-036,S05,odr B.2.3.,2: OŠ 3-5,Individual action to protect natural resources,B1-053;B1-060;B2-054,Project / integrated teaching,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Older Book 2 pupils need cycle-3 expectations,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-037,S05,odr B.3.1.,3: OŠ 6-8,Judge effects of actions on sustainable development,B2-053;B2-054,Science / cross-curricular,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Use transparent evidence and practical constraints,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-038,S05,odr B.3.2.,3: OŠ 6-8,Participate in sustainability activities,B2-059,School/community project,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Planning alone is partial; actual approved action needed for participation evidence,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-039,S05,odr B.4.1.,4: SŠ early years,Practical environmental action,B3-017;B3-020;B3-053,Project / cross-curricular,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Paper comparison is partial; safe documented practical action can extend it,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-040,S05,odr B.5.1.,5: SŠ later years,Critically examine environmental impacts,B3-030;B3-053;B3-057,Project / sustainability,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No unsafe practical repair to prove understanding,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,2026-09-22
CM-041,S06,goo A.2.1.,2: OŠ 3-5,Human rights in everyday life,B1-033;B1-036;B1-059;B2-057,Class meeting / civic education,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Grade-5 link for Book 2 only; avoid collecting sensitive personal status,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html,2026-09-22
CM-042,S06,goo C.3.1.,3: OŠ 6-8,Participation in community projects,B2-059,School community project,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",School authorisation and safeguarding before actual participation,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html,2026-09-22
CM-043,S06,goo C.3.2.,3: OŠ 6-8,Solidarity and community contribution,B2-036;B2-059,Class meeting / community,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Never condition pupil inclusion on donating money or goods,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_217.html,2026-09-22
CM-044,S07,C.1.1.A,1: OŠ 1-2,Safe travel to school,B1-041;B1-050,Health / integrated teaching,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Local route/rules and adult-led practice checked separately,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-045,S07,C.1.1.B,1: OŠ 1-2,Recognise household hazards,B1-010;B1-012;B1-039,Health / integrated teaching,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No live hazard simulation,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-046,S07,C.1.2.,1: OŠ 1-2,Recognise minor injury and basic help needs,B1-040,Health / first-aid awareness,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","Source is a learning expectation, not a current clinical protocol",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-047,S07,A.2.1.,2: OŠ 3-5,Recognise age-related physical development,B2-025,Grade-5 health / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Do not use cycle-2 anchor as full grade-6-8 mapping,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-048,S07,A.2.2.A,2: OŠ 3-5,Healthy eating patterns,B1-016;B1-018;B2-014;B2-018,Health / practical food lesson,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Requires current age-appropriate nutrition and allergy review,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-049,S07,A.2.3.,2: OŠ 3-5,Hygiene and sleep-related self-care,B1-025;B1-026;B1-027;B2-026,Health / class meeting,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",No diagnosis or universal sleep prescription,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-050,S07,A.3.2.B,3: OŠ 6-8,Use food-label information,B2-018;B2-028,Health / science,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Check current labelling rules; avoid restrictive eating advice,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-051,S07,C.3.1.A,3: OŠ 6-8,Road rules and safety,B2-040;B2-051,Health / road-safety session,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","Verify current age limits, routes and equipment law before printing",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-052,S07,C.3.2.A,3: OŠ 6-8,Explain resuscitation procedures,B2-038,Qualified instructor-led first aid,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Explanation code does not authorise unsupervised hands-on practice,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-053,S07,C.3.2.D,3: OŠ 6-8,Use reliable health information,B2-029;B2-035,Health / media literacy,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Clinician-approved source set required,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,2026-09-22
CM-054,S09,PV OŠ A.3.1.;PV OŠ B.3.1.,"OŠ grade 3, experimental programme",Make or assemble a functional object from instructions with appropriate tools,B1-011,Experimental Praktične vještine,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval","Experimental only; map grade 3 specifically; approved safe cardboard assembly, not all making outcomes",Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf,2026-09-22
CM-055,S09,PV OŠ B.3.2.,"OŠ grade 3, experimental programme",Maintain and protect objects,B1-007;B1-008,Experimental Praktične vještine,Use the linked topic success check; add a grade-specific teacher rubric and retained anonymous example,"Official code located in source; relevance is our proposal, not Ministry/AZOO approval",Sorting alone is partial; teacher adds appropriate object-maintenance evidence,Qualified teacher for exact grade and subject; curriculum lead; specialist for safety-sensitive content,https://mzom.gov.hr/UserDocsImages//dokumenti/Obrazovanje/OsnovneSkole//Eksperimentalni-kurikulum-nastavnog-predmeta-Prakticne-vjestine-za-osnovne-skole.pdf,2026-09-22
